Item,2006,2007,2008,2009,2010,2011,2012,Category
Average Annual Expenditure ,48400.0,49638.0,50486.0,49067.0,48109.0,49705.0,51442.0,Average Annual Expenditure 
Food,6111.0,6133.0,6443.0,6372.0,6129.0,6458.0,6599.0,Food
Food at home,3417.0,3465.0,3744.0,3753.0,3624.0,3838.0,3921.0,Food at home
Cereals and bakery products,446.0,460.0,507.0,506.0,502.0,531.0,538.0,Cereals and bakery products
Cereals and cereal products,143.0,143.0,170.0,173.0,165.0,175.0,182.0,Cereals and cereal products
Bakery products,304.0,317.0,337.0,334.0,337.0,356.0,356.0,Bakery products
"Meats, poultry, fish, and eggs",797.0,777.0,846.0,841.0,784.0,832.0,852.0,Bakery products
Beef,236.0,216.0,239.0,226.0,217.0,223.0,226.0,Beef
Pork,157.0,150.0,163.0,168.0,149.0,162.0,166.0,Pork
Other meats,105.0,104.0,106.0,114.0,117.0,123.0,122.0,Other meats
Poultry,141.0,142.0,159.0,154.0,138.0,154.0,159.0,Poultry
Fish and seafood,122.0,122.0,128.0,135.0,117.0,121.0,126.0,Fish and seafood
Eggs,37.0,43.0,51.0,44.0,46.0,50.0,53.0,Eggs
Dairy products,368.0,387.0,430.0,406.0,380.0,407.0,419.0,Dairy products
Fresh milk and cream,140.0,154.0,168.0,144.0,141.0,150.0,152.0,Fresh milk and cream
Other dairy products,228.0,234.0,261.0,262.0,240.0,257.0,267.0,Other dairy products
Fruits and vegetables,592.0,600.0,657.0,656.0,679.0,715.0,731.0,Fruits and vegetables
Fresh fruits,195.0,202.0,222.0,220.0,232.0,247.0,261.0,Fresh fruits
Fresh vegetables,193.0,190.0,212.0,209.0,210.0,224.0,226.0,Fresh vegetables
Processed fruits,109.0,112.0,116.0,118.0,113.0,116.0,114.0,Processed fruits
Processed vegetables,95.0,96.0,107.0,110.0,124.0,128.0,130.0,Processed vegetables
Other food at home,1212.0,1241.0,1305.0,1343.0,1278.0,1353.0,1380.0,Other food at home
Sugar and other sweets,125.0,124.0,129.0,141.0,132.0,144.0,147.0,Sugar and other sweets
Fats and oils,86.0,91.0,104.0,102.0,103.0,110.0,114.0,Fats and oils
Miscellaneous foods,627.0,650.0,680.0,715.0,667.0,690.0,699.0,Miscellaneous foods
Nonalcoholic beverages,332.0,333.0,342.0,337.0,333.0,361.0,370.0,Nonalcoholic beverages
Food prepared by consumer unit on out-of-town trips,43.0,43.0,49.0,49.0,43.0,48.0,50.0,Food prepared by consumer unit on out-of-town trips
